,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
13,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,25,1993,33.8,9,59,24,40.7,1.74,0.71,0.15,0.38,18.2,5,0,0,5.2,5.2,0.09,+3.8,+3.8,Matches
14,Florin Andone\dc008610,ro ROU,FW,Brighton,25,1993,9.8,3,18,8,44.4,1.84,0.82,0.17,0.38,11.9,0,0,0,2.0,2.0,0.11,+1.0,+1.0,Matches
15,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,28,1990,23.4,6,64,24,37.5,2.74,1.03,0.09,0.25,15.8,0,0,0,6.8,6.8,0.11,-0.8,-0.8,Matches
16,Stuart Armstrong\97333cf5,sct SCO,MFFW,Southampton,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,20.3,0,0,0,2.4,2.4,0.07,+0.6,+0.6,Matches
17,Marko Arnautović\00459419,at AUT,FW,West Ham,29,1989,22.1,10,62,30,48.4,2.80,1.36,0.15,0.30,16.9,3,1,1,9.5,8.7,0.14,+0.5,+0.3,Matches
18,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,23,1994,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Harry Arter\2f4c5a52,ie IRL,MF,Cardiff City,28,1989,22.2,0,23,4,17.4,1.04,0.18,0.00,0.00,22.5,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
20,Christian Atsu\8816329f,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,1,28,14,50.0,1.69,0.84,0.04,0.07,18.2,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
21,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.20,0.53,13.7,0,4,5,20.1,16.2,0.18,+1.9,+1.8,Matches
22,Serge Aurier\5c2b4f07,ci CIV,DFMF,Tottenham,25,1992,6.3,0,4,1,25.0,0.64,0.16,0.00,0.00,16.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
23,Charlie Austin\8d228291,eng ENG,FW,Southampton,29,1989,10.9,2,32,8,25.0,2.93,0.73,0.06,0.25,15.1,0,0,1,3.5,2.9,0.09,-1.5,-0.9,Matches
24,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,26,1991,13.1,1,28,3,10.7,2.13,0.23,0.04,0.33,13.9,0,0,0,2.7,2.7,0.10,-1.7,-1.7,Matches
25,Floyd Ayité\fd5888a0,tg TOG,FWMF,Fulham,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1.00,20.0,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
26,César Azpilicueta\53cad200,es ESP,DF,Chelsea,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,16.6,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
27,Ryan Babel\6438d426,nl NED,FW,Fulham,31,1986,13.9,5,25,9,36.0,1.80,0.65,0.20,0.56,16.5,0,0,0,4.7,4.7,0.19,+0.3,+0.3,Matches
28,Juninho Bacuna\aaf1bf05,cw CUW,MFDF,Huddersfield,20,1997,15.7,1,17,8,47.1,1.08,0.51,0.06,0.13,26.4,2,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
29,Leandro Bacuna\9dc69d38,cw CUW,MFDF,Cardiff City,26,1991,6.2,0,5,1,20.0,0.80,0.16,0.00,0.00,27.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
30,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,24,1994,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,11.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
31,Leighton Baines\b18095b6,eng ENG,DF,Everton,33,1984,4.2,0,2,1,50.0,0.48,0.24,0.00,0.00,24.5,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
32,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,26,1991,22.4,1,18,2,11.1,0.80,0.09,0.06,0.50,7.8,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches
33,Leon Balogun\78e68b4d,ng NGA,DF,Brighton,30,1988,6.6,1,2,1,50.0,0.30,0.15,0.50,1.00,10.2,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
34,Sol Bamba\5534217d,ci CIV,DF,Cardiff City,33,1985,27.5,4,21,8,38.1,0.76,0.29,0.19,0.50,9.1,0,0,0,2.6,2.6,0.12,+1.4,+1.4,Matches
35,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,33,1985,18.6,0,12,1,8.3,0.65,0.05,0.00,0.00,27.5,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
36,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,24,1993,13.8,3,38,9,23.7,2.75,0.65,0.08,0.33,19.8,1,0,0,3.8,3.8,0.10,-0.8,-0.8,Matches
37,Ashley Barnes\2691c772,eng ENG,FW,Burnley,28,1989,26.5,12,63,28,44.4,2.37,1.06,0.16,0.36,13.9,0,2,2,11.5,10.0,0.16,+0.5,0.0,Matches
38,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,20,1997,11.2,1,39,10,25.6,3.50,0.90,0.03,0.10,16.4,0,0,0,3.2,3.2,0.08,-2.2,-2.2,Matches
39,Antonio Barreca\6a189491,it ITA,DF,Newcastle Utd,23,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi\2973d8ff,be BEL,FW,Crystal Palace,24,1993,8.3,5,26,10,38.5,3.12,1.20,0.19,0.50,15.6,0,0,0,3.5,3.5,0.14,+1.5,+1.5,Matches
41,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,22,1996,23.9,0,5,1,20.0,0.21,0.04,0.00,0.00,6.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
42,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,31,1987,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,23,1995,17.0,0,18,4,22.2,1.06,0.23,0.00,0.00,18.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
44,Joe Bennett\dc936144,eng ENG,DF,Cardiff City,28,1990,29.3,0,10,3,30.0,0.34,0.10,0.00,0.00,22.8,3,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
45,Ryan Bennett\0bad4516,eng ENG,DF,Wolves,28,1990,34.0,1,15,3,20.0,0.44,0.09,0.07,0.33,10.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,27,1990,9.0,1,29,8,27.6,3.21,0.88,0.03,0.13,10.5,0,0,0,3.5,3.5,0.12,-2.5,-2.5,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MFFW,Burnley,27,1990,19.5,3,33,10,30.3,1.70,0.51,0.09,0.30,19.1,7,0,0,3.0,3.0,0.09,0.0,0.0,Matches
48,Bernard\ab4b3e35,br BRA,FWMF,Everton,25,1992,23.5,1,23,5,21.7,0.98,0.21,0.04,0.20,16.1,0,0,0,2.8,2.8,0.12,-1.8,-1.8,Matches
49,Bernardo\17370b95,br BRA,DF,Brighton,23,1995,19.5,0,8,3,37.5,0.41,0.15,0.00,0.00,17.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
50,Ryan Bertrand\01226327,eng ENG,DF,Southampton,28,1989,24.0,1,16,2,12.5,0.67,0.08,0.06,0.50,22.2,3,0,0,1.0,1.0,0.06,0.0,0.0,Matches
51,Marcus Bettinelli\0d85a4e8,eng ENG,GK,Fulham,26,1992,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Philip Billing\d328a254,dk DEN,MF,Huddersfield,22,1996,24.3,2,43,9,20.9,1.77,0.37,0.05,0.22,23.0,3,0,0,1.9,1.9,0.04,+0.1,+0.1,Matches
53,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,21,1996,19.7,0,31,3,9.7,1.57,0.15,0.00,0.00,24.7,3,0,0,1.6,1.6,0.05,-1.6,-1.6,Matches
54,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,27,1991,35.2,4,22,6,27.3,0.63,0.17,0.18,0.67,10.1,0,0,0,2.8,2.8,0.13,+1.2,+1.2,Matches
55,Léo Bonatini\da23d58d,br BRA,FW,Wolves,24,1994,1.5,0,9,1,11.1,6.00,0.67,0.00,0.00,12.3,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches
56,Gaëtan Bong\cfd5e123,cm CMR,DF,Brighton,30,1988,20.1,0,2,0,0.0,0.10,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
57,Artur Boruc\34ccf6fa,pl POL,GK,Bournemouth,38,1980,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Robbie Brady\96bb8cc2,ie IRL,MFFW,Burnley,26,1992,8.0,0,12,2,16.7,1.50,0.25,0.00,0.00,21.2,2,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
59,Miguel Britos\356a9a62,uy URU,DF,Watford,33,1985,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,David Brooks\dc4cae05,wls WAL,MFFW,Bournemouth,21,1997,25.1,7,40,20,50.0,1.59,0.80,0.18,0.35,14.9,0,0,0,6.2,6.2,0.16,+0.8,+0.8,Matches
61,Bruno\78803d03,es ESP,DF,Brighton,37,1980,12.6,0,2,0,0.0,0.16,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
62,Joe Bryan\af69e7f0,eng ENG,DF,Fulham,24,1993,26.1,0,21,7,33.3,0.81,0.27,0.00,0.00,22.8,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
63,David Button\e608ed4c,eng ENG,GK,Brighton,29,1989,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Willy Caballero\a179d516,ar ARG,GK,Chelsea,36,1981,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Gary Cahill\7914b9fe,eng ENG,DF,Chelsea,32,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,Tom Cairney\a8748947,sct SCO,MFFW,Fulham,27,1991,24.4,1,24,5,20.8,0.98,0.21,0.04,0.20,22.3,0,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
67,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,21,1997,19.8,6,54,17,31.5,2.72,0.86,0.11,0.35,12.6,0,0,0,5.1,5.1,0.09,+0.9,+0.9,Matches
68,Rafael Camacho\91b43c98,pt POR,DF,Liverpool,18,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Víctor Camarasa\b2d03887,es ESP,MF,Cardiff City,24,1994,28.5,5,39,10,25.6,1.37,0.35,0.13,0.50,22.9,5,0,0,2.6,2.6,0.07,+2.4,+1.4,Matches
70,Étienne Capoue\5acc4a10,fr FRA,MF,Watford,30,1988,32.7,1,17,4,23.5,0.52,0.12,0.06,0.25,28.5,5,0,0,1.0,1.0,0.06,0.0,0.0,Matches
71,Andy Carroll\b581987a,eng ENG,FW,West Ham,29,1989,5.1,0,14,6,42.9,2.73,1.17,0.00,0.00,10.9,0,0,0,1.8,1.8,0.13,-1.8,-1.8,Matches
72,Jonny Castro\e28868f3,es ESP,DFMF,Wolves,24,1994,30.8,1,25,7,28.0,0.81,0.23,0.04,0.14,19.7,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
73,Craig Cathcart\89e4b358,nir NIR,DF,Watford,29,1989,34.4,3,14,5,35.7,0.41,0.15,0.21,0.60,8.9,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Matches
74,Ivan Cavaleiro\979b811d,pt POR,FW,Wolves,24,1993,7.7,3,12,4,33.3,1.56,0.52,0.25,0.75,15.4,0,0,0,2.4,2.4,0.20,+0.6,+0.6,Matches
75,Petr Čech\71672fa0,cz CZE,GK,Arsenal,36,1982,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Nathaniel Chalobah\422862ea,eng ENG,MFFW,Watford,23,1994,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,24.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
77,Calum Chambers\dc6f5bdd,eng ENG,MFDF,Fulham,23,1995,28.8,2,35,11,31.4,1.22,0.38,0.06,0.18,19.0,0,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
78,Ben Chilwell\d2424d1b,eng ENG,DF,Leicester City,21,1996,36.0,0,20,10,50.0,0.56,0.28,0.00,0.00,21.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
79,Tahith Chong\2696b6a9,nl NED,FW,Manchester Utd,18,1999,0.4,0,2,1,50.0,4.74,2.37,0.00,0.00,13.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
80,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,20,1997,6.6,0,4,2,50.0,0.61,0.30,0.00,0.00,18.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
81,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,22,1996,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Cyrus Christie\7eb67dad,ie IRL,DF,Fulham,25,1992,21.6,0,11,4,36.4,0.51,0.18,0.00,0.00,21.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
83,Ibrahima Cissé\be4fede9,gn GUI,MF,Fulham,24,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,28,1989,9.5,3,6,3,50.0,0.63,0.31,0.50,1.00,8.3,0,0,0,0.5,0.5,0.08,+2.5,+2.5,Matches
85,Tom Cleverley\6cdd8245,eng ENG,MFFW,Watford,28,1989,5.3,1,4,2,50.0,0.75,0.38,0.25,0.50,20.3,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
86,Nathaniel Clyne\0442183b,eng ENG,DF,Liverpool,27,1991,1.2,0,3,0,0.0,2.43,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
87,Nathaniel Clyne\0442183b,eng ENG,DF,Bournemouth,27,1991,12.7,0,2,0,0.0,0.16,0.00,0.00,,10.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
88,Conor Coady\2928dca2,eng ENG,DF,Wolves,25,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Joel Coleman\b73e459a,eng ENG,GK,Huddersfield,22,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Séamus Coleman\0420d84f,ie IRL,DF,Everton,29,1988,28.4,2,13,5,38.5,0.46,0.18,0.15,0.40,17.8,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches
91,Lewis Cook\2afc7272,eng ENG,MF,Bournemouth,21,1997,8.0,0,3,0,0.0,0.37,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
92,Steve Cook\3e5e4e63,eng ENG,DF,Bournemouth,27,1991,31.0,1,24,9,37.5,0.78,0.29,0.04,0.11,14.4,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
93,Jack Cork\74e12f1e,eng ENG,MF,Burnley,29,1989,36.8,1,14,2,14.3,0.38,0.05,0.07,0.50,16.6,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
94,Hélder Costa\f13d02a6,ao ANG,FWMF,Wolves,24,1994,14.9,1,25,7,28.0,1.68,0.47,0.04,0.14,18.9,0,0,0,2.4,2.4,0.10,-1.4,-1.4,Matches
95,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,28,1989,17.7,0,11,0,0.0,0.62,0.00,0.00,,23.5,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
96,Peter Crouch\73d9bdc7,eng ENG,FW,Burnley,37,1981,1.0,0,4,1,25.0,3.91,0.98,0.00,0.00,9.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
97,Greg Cunningham\dc10b26c,ie IRL,DF,Cardiff City,27,1991,7.0,0,2,1,50.0,0.29,0.14,0.00,0.00,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
98,Diogo Dalot\d9565625,pt POR,DFMF,Manchester Utd,19,1999,11.3,0,15,0,0.0,1.33,0.00,0.00,,24.2,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
99,Matty Daly\03e48abb,eng ENG,MF,Huddersfield,17,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,Loïc Damour\074d8166,fr FRA,MF,Cardiff City,27,1991,0.3,0,1,0,0.0,3.91,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
101,Charlie Daniels\9d107085,eng ENG,DF,Bournemouth,31,1986,17.6,1,12,3,25.0,0.68,0.17,0.08,0.33,18.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
102,Danilo\94b2001f,br BRA,DF,Manchester City,27,1991,9.0,1,14,3,21.4,1.56,0.33,0.07,0.33,24.7,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
103,Scott Dann\52105203,eng ENG,DF,Crystal Palace,31,1987,7.4,0,6,1,16.7,0.81,0.14,0.00,0.00,10.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
104,Matteo Darmian\96e0490d,it ITA,DF,Manchester Utd,28,1989,4.9,0,1,1,100.0,0.20,0.20,0.00,0.00,23.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
105,Ben Davies\44781702,wls WAL,DF,Tottenham,25,1993,20.5,0,15,1,6.7,0.73,0.05,0.00,0.00,19.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
106,Tom Davies\9228b07c,eng ENG,MF,Everton,20,1998,10.9,0,7,2,28.6,0.64,0.18,0.00,0.00,19.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
107,Steven Davis\cf15bbb1,nir NIR,MF,Southampton,33,1985,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,27,1991,10.8,2,31,11,35.5,2.86,1.02,0.06,0.18,22.8,3,0,0,2.1,2.1,0.07,-0.1,-0.1,Matches
109,Troy Deeney\82e34b69,eng ENG,FW,Watford,30,1988,28.3,9,62,29,46.8,2.19,1.03,0.13,0.28,13.6,0,1,1,10.3,9.5,0.15,-1.3,-1.5,Matches
110,Jermain Defoe\f1e8372d,eng ENG,FW,Bournemouth,35,1982,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,7.3,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches
111,Steven Defour\73489527,be BEL,MF,Burnley,30,1988,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
112,Fabian Delph\111c3236,eng ENG,DF,Manchester City,28,1989,8.1,0,4,3,75.0,0.50,0.37,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
113,Mousa Dembélé\f7ee69fb,be BEL,MF,Tottenham,31,1987,5.7,0,1,0,0.0,0.17,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
114,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,23,1995,16.3,2,16,9,56.3,0.98,0.55,0.13,0.22,12.5,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches
115,Laurent Depoitre\aa5859cb,be BEL,FW,Huddersfield,29,1988,11.9,0,34,7,20.6,2.87,0.59,0.00,0.00,11.0,0,0,0,3.9,3.9,0.12,-3.9,-3.9,Matches
116,Gerard Deulofeu\39583cfd,es ESP,FW,Watford,24,1994,23.0,10,61,23,37.7,2.66,1.00,0.16,0.43,16.3,6,0,0,8.1,8.1,0.13,+1.9,+1.9,Matches
117,Fousseni Diabaté\d07e3b41,ml MLI,FW,Leicester City,22,1995,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Adama Diakhaby\65585e3a,fr FRA,FWMF,Huddersfield,22,1996,6.1,0,7,3,42.9,1.14,0.49,0.00,0.00,18.2,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
119,Mohamed Diamé\b7d082af,sn SEN,MF,Newcastle Utd,31,1987,24.1,0,21,3,14.3,0.87,0.12,0.00,0.00,22.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
120,Grady Diangana\f522d7ec,eng ENG,FWMF,West Ham,20,1998,6.8,0,10,3,30.0,1.48,0.44,0.00,0.00,17.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
121,Eric Dier\ac861941,eng ENG,MF,Tottenham,24,1994,16.7,3,9,3,33.3,0.54,0.18,0.33,1.00,9.9,0,0,0,1.7,1.7,0.19,+1.3,+1.3,Matches
122,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,25,1993,32.9,4,34,10,29.4,1.03,0.30,0.12,0.40,24.8,11,0,0,1.0,1.0,0.03,+3.0,+3.0,Matches
123,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,27,1991,37.6,4,32,8,25.0,0.85,0.21,0.13,0.50,12.1,1,0,0,3.1,3.1,0.10,+0.9,+0.9,Matches
124,Issa Diop\a712ca2b,fr FRA,DF,West Ham,21,1997,33.0,1,14,4,28.6,0.42,0.12,0.07,0.25,8.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
125,Matt Doherty\d557d734,ie IRL,DFMF,Wolves,26,1992,34.9,4,45,17,37.8,1.29,0.49,0.09,0.24,12.5,0,0,0,5.1,5.1,0.11,-1.1,-1.1,Matches
126,Abdoulaye Doucouré\02b29014,fr FRA,MF,Watford,25,1993,34.0,5,52,16,30.8,1.53,0.47,0.10,0.31,16.7,0,0,0,5.8,5.8,0.12,-0.8,-0.8,Matches
127,Luke Dreher\d1c509d9,eng ENG,MF,Crystal Palace,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,29,1989,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Shane Duffy\7314bba4,ie IRL,DF,Brighton,26,1992,34.3,5,37,14,37.8,1.08,0.41,0.14,0.36,9.8,0,0,0,2.6,2.6,0.07,+2.4,+2.4,Matches
130,Demeaco Duhaney\5ef608f7,eng ENG,DF,Huddersfield,19,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,26,1991,22.1,0,9,1,11.1,0.41,0.05,0.00,0.00,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
132,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,26,1991,35.0,2,21,4,19.0,0.60,0.11,0.10,0.50,12.6,2,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
133,Erik Durm\cf623c78,de GER,DF,Huddersfield,26,1992,22.8,0,8,0,0.0,0.35,0.00,0.00,,21.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
134,Bruno Ecuele Manga\72a0fb65,ga GAB,DF,Cardiff City,30,1988,37.5,0,10,2,20.0,0.27,0.05,0.00,0.00,12.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
135,Ederson\3bb7b8b4,br BRA,GK,Manchester City,24,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Harvey Elliott\c8387671,eng ENG,MF,Fulham,15,2003,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
137,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,26,1992,4.2,0,7,0,0.0,1.66,0.00,0.00,,17.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
