,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,27,1990,35.5,3,45,12,26.7,1.27,0.34,0.07,0.25,19.7,0,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
2,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,30,1988,27.3,21,113,41,36.3,4.14,1.50,0.17,0.46,14.2,3,2,2,19.6,18.1,0.16,+1.4,+0.9,Matches
3,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.50,7.4,0,0,0,3.2,3.2,0.15,+0.8,+0.8,Matches
4,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,28,1989,18.1,2,20,7,35.0,1.11,0.39,0.10,0.29,20.7,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
5,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,29,1989,32.5,0,18,6,33.3,0.55,0.18,0.00,0.00,12.8,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
6,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,19,1998,27.4,1,29,9,31.0,1.06,0.33,0.03,0.11,24.7,9,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
7,Alisson\7a2e46a8,br BRA,GK,Liverpool,25,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,22,1996,20.3,5,39,18,46.2,1.92,0.89,0.13,0.28,14.0,1,0,0,5.9,5.9,0.15,-0.9,-0.9,Matches
9,Miguel Almirón\862a1c15,py PAR,FWMF,Newcastle Utd,24,1994,8.4,0,19,8,42.1,2.25,0.95,0.00,0.00,19.1,0,0,0,1.7,1.6,0.09,-1.7,-1.6,Matches
10,Marcos Alonso\f4290206,es ESP,DF,Chelsea,27,1990,30.7,2,43,7,16.3,1.40,0.23,0.05,0.29,18.7,8,0,0,2.8,2.8,0.06,-0.8,-0.8,Matches
11,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,23,1994,7.1,0,4,1,25.0,0.56,0.14,0.00,0.00,19.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
12,Luke Amos\77128f7e,eng ENG,MF,Tottenham,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
