,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-166,2001,0.8,0,3,0,0.0,3.86,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
31,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-102,1993,5.1,2,16,5,31.3,3.14,0.98,0.13,0.40,13.0,0,0,0,3.3,3.3,0.20,-1.3,-1.3,Matches
32,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-252,1998,4.5,1,5,2,40.0,1.11,0.44,0.20,0.50,18.8,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
33,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-011,1993,1.4,0,6,1,16.7,4.22,0.70,0.00,0.00,22.1,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
34,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-047,1989,4.2,0,8,3,37.5,1.88,0.71,0.00,0.00,12.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
35,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-007,1997,11.4,2,27,12,44.4,2.37,1.05,0.07,0.17,15.8,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches
36,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,22-343,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-248,1996,10.9,1,5,1,20.0,0.46,0.09,0.20,1.00,6.1,0,0,0,0.8,0.8,0.15,+0.2,+0.2,Matches
38,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-242,1997,0.8,1,1,1,100.0,1.23,1.23,1.00,1.00,5.0,0,0,0,0.7,0.7,0.66,+0.3,+0.3,Matches
39,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-179,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-128,1995,13.4,3,36,12,33.3,2.69,0.90,0.08,0.25,20.1,3,0,0,2.3,2.3,0.07,+0.7,+0.7,Matches
41,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-013,1990,11.0,4,35,11,31.4,3.18,1.00,0.11,0.36,11.4,0,0,0,5.0,5.0,0.14,-1.0,-1.0,Matches
42,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-050,1990,10.7,0,16,4,25.0,1.50,0.38,0.00,0.00,19.1,2,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
43,Steven Bergwijn\a29b1131,nl NED,FW,Tottenham,24-069,1997,3.2,0,7,3,42.9,2.21,0.95,0.00,0.00,17.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
44,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-133,1989,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20-294,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-108,1996,11.4,0,9,1,11.1,0.79,0.09,0.00,0.00,23.3,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
47,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,24-361,1996,15.6,3,42,16,38.1,2.69,1.03,0.07,0.19,16.7,0,0,0,5.0,5.0,0.12,-2.0,-2.0,Matches
48,Armando Broja\97220da2,al ALB,FW,Southampton,20-097,2001,6.9,4,17,9,52.9,2.46,1.30,0.24,0.44,12.8,0,0,0,2.6,2.6,0.16,+1.4,+1.4,Matches
49,Josh Brownhill\47369df8,eng ENG,MF,Burnley,25-362,1995,13.4,0,11,2,18.2,0.82,0.15,0.00,0.00,22.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
50,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,20-308,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,24-356,1996,9.9,1,14,3,21.4,1.41,0.30,0.07,0.33,17.9,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
52,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-221,1992,5.4,0,2,0,0.0,0.37,0.00,0.00,,7.0,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
53,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-281,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,Sam Byram\1bf811d4,eng ENG,MF,Norwich City,28-091,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-079,1981,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-275,1997,2.8,3,9,5,55.6,3.27,1.81,0.11,0.20,11.5,0,2,2,3.8,2.3,0.25,-0.8,-1.3,Matches
57,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-203,1994,15.9,0,36,13,36.1,2.27,0.82,0.00,0.00,22.9,1,0,0,1.8,1.8,0.05,-1.8,-1.8,Matches
58,Sergi Canós\1137759d,es ESP,DF,Brentford,24-317,1997,13.6,2,20,7,35.0,1.48,0.52,0.10,0.29,15.8,1,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
59,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-292,1998,4.9,0,4,0,0.0,0.82,0.00,0.00,,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
