,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Eberechi Eze\ae4fc6a4,eng ENG,MF,Crystal Palace,23-170,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-242,1985,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-054,1993,11.2,1,8,2,25.0,0.71,0.18,0.13,0.50,16.3,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches
129,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,30-317,1991,9.0,0,1,0,0.0,0.11,0.00,0.00,,19.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
130,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-099,1994,15.3,5,36,9,25.0,2.35,0.59,0.14,0.56,22.3,3,0,1,3.6,2.9,0.08,+1.4,+2.1,Matches
131,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-247,1998,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,32-298,1989,5.8,0,6,1,16.7,1.03,0.17,0.00,0.00,9.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
133,Fernandinho\101da2b5,br BRA,MF,Manchester City,36-226,1985,3.5,1,6,1,16.7,1.70,0.28,0.17,1.00,19.6,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
134,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,30-075,1991,4.1,4,12,6,50.0,2.91,1.46,0.33,0.67,12.5,0,0,0,3.9,3.9,0.33,+0.1,+0.1,Matches
135,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,25-116,1996,9.1,0,5,0,0.0,0.55,0.00,0.00,,13.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
136,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,26-075,1995,0.3,0,2,1,50.0,6.00,3.00,0.00,0.00,19.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
137,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,21-202,2000,9.0,4,26,12,46.2,2.89,1.33,0.15,0.33,14.3,0,0,0,4.5,4.5,0.18,-0.5,-0.5,Matches
138,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,25-297,1996,14.6,4,23,8,34.8,1.58,0.55,0.17,0.50,17.9,0,0,0,2.9,2.9,0.13,+1.1,+1.1,Matches
139,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,30-069,1991,7.2,0,7,2,28.6,0.97,0.28,0.00,0.00,28.9,1,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
140,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,22-181,1999,2.2,0,4,0,0.0,1.83,0.00,0.00,,12.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
141,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-257,1983,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
142,Ryan Fraser\d56543a0,sct SCO,MFDF,Newcastle Utd,27-295,1994,3.9,0,6,0,0.0,1.54,0.00,0.00,,18.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
143,Fred\b853e0ad,br BRA,MF,Manchester Utd,28-286,1993,12.4,2,8,5,62.5,0.64,0.40,0.25,0.40,22.8,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches
144,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,29-067,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
145,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,21-313,2000,15.6,6,34,14,41.2,2.18,0.90,0.18,0.43,16.3,3,0,0,3.6,3.6,0.11,+2.4,+2.4,Matches
146,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,31-060,1990,0.3,0,1,0,0.0,3.91,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
147,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,26-082,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
148,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-039,1990,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Joe Gelhardt\01962d0d,eng ENG,FW,Leeds United,19-226,2002,2.0,1,8,4,50.0,3.91,1.96,0.13,0.25,14.4,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches
150,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,26-227,1995,4.1,1,6,1,16.7,1.46,0.24,0.00,0.00,21.0,0,1,1,1.0,0.3,0.05,0.0,-0.3,Matches
151,Saman Ghoddos\f7b1d4e0,ir IRN,MFFW,Brentford,28-101,1993,3.1,1,7,2,28.6,2.27,0.65,0.14,0.50,19.3,1,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
152,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,26-060,1995,5.4,0,2,1,50.0,0.37,0.18,0.00,0.00,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
153,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,21-323,2000,0.1,0,2,0,0.0,20.00,0.00,0.00,,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
154,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,28-335,1993,12.7,0,6,3,50.0,0.47,0.24,0.00,0.00,10.2,0,0,0,1.1,1.1,0.18,-1.1,-1.1,Matches
155,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,20-188,2001,9.7,0,6,1,16.7,0.62,0.10,0.00,0.00,22.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
156,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,23-335,1998,12.5,0,11,3,27.3,0.88,0.24,0.00,0.00,18.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
157,André Gomes\1961b2aa,pt POR,MF,Everton,28-139,1993,2.0,0,9,2,22.2,4.43,0.98,0.00,0.00,20.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
158,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,24-207,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
159,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,26-135,1995,5.0,0,2,0,0.0,0.40,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
160,Anthony Gordon\2bd83368,eng ENG,MF,Everton,20-295,2001,6.8,0,10,2,20.0,1.47,0.29,0.00,0.00,12.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches
161,Dan Gosling\7fec31a0,eng ENG,MF,Watford,31-318,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,25-171,1996,13.7,5,35,10,28.6,2.55,0.73,0.14,0.50,20.7,1,0,0,2.5,2.5,0.07,+2.5,+2.5,Matches
163,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,26-097,1995,10.8,2,27,12,44.4,2.50,1.11,0.07,0.17,14.6,0,0,0,3.5,3.5,0.13,-1.5,-1.5,Matches
164,Mason Greenwood\58eee997,eng ENG,FW,Manchester Utd,20-076,2001,9.4,4,32,12,37.5,3.40,1.27,0.13,0.33,18.8,0,0,0,2.6,2.6,0.08,+1.4,+1.4,Matches
165,Pascal Groß\8aec0537,de GER,MFDF,Brighton,30-184,1991,9.4,0,10,3,30.0,1.06,0.32,0.00,0.00,17.7,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
166,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,34-340,1987,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,Marc Guéhi\d0706b27,eng ENG,DF,Crystal Palace,21-156,2000,17.0,2,10,4,40.0,0.59,0.24,0.20,0.50,11.8,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Matches
168,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,31-053,1990,10.4,3,29,8,27.6,2.78,0.77,0.10,0.38,13.4,2,0,0,5.0,5.0,0.17,-2.0,-2.0,Matches
169,Grant Hanley\e9254eec,sct SCO,DF,Norwich City,30-026,1991,14.2,1,9,2,22.2,0.63,0.14,0.11,0.50,7.9,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
170,Jack Harrison\aa849a12,eng ENG,MFFW,Leeds United,25-026,1996,11.9,0,14,4,28.6,1.17,0.33,0.00,0.00,17.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
171,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,26-153,1995,2.9,1,1,1,100.0,0.34,0.34,1.00,1.00,5.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
172,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,22-188,1999,9.5,2,26,8,30.8,2.73,0.84,0.08,0.25,14.4,0,0,0,2.9,2.9,0.11,-0.9,-0.9,Matches
173,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,26-269,1995,9.5,1,5,1,20.0,0.53,0.11,0.20,1.00,14.2,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
174,Hwang Hee-chan\169fd162,kr KOR,FWMF,Wolves,25-324,1996,10.9,4,10,5,50.0,0.92,0.46,0.40,0.80,13.0,0,0,0,2.2,2.2,0.22,+1.8,+1.8,Matches
175,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,31-182,1990,12.6,2,13,4,30.8,1.03,0.32,0.15,0.50,23.9,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
176,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,29-319,1992,0.7,1,1,1,100.0,1.48,1.48,1.00,1.00,27.0,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
177,Rico Henry\8a3c1dc7,eng ENG,DF,Brentford,24-161,1997,15.3,2,7,2,28.6,0.46,0.13,0.29,1.00,14.5,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches
178,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,29-161,1992,12.6,6,31,13,41.9,2.45,1.03,0.19,0.46,17.5,1,0,0,4.3,4.3,0.14,+1.7,+1.7,Matches
179,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,19-332,2002,1.2,0,1,0,0.0,0.87,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
180,Rob Holding\d79a8c87,eng ENG,DFMF,Arsenal,26-087,1995,2.2,0,2,0,0.0,0.89,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
181,Mason Holgate\d0042ab9,eng ENG,DF,Everton,25-055,1996,4.8,0,1,0,0.0,0.21,0.00,0.00,,9.2,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
182,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,21-039,2000,6.6,1,10,6,60.0,1.51,0.91,0.10,0.17,13.7,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
183,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,26-243,1995,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
184,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,26-133,1995,14.0,2,12,7,58.3,0.86,0.50,0.17,0.29,21.8,1,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
185,Adam Idah\291e3ec3,ie IRL,FW,Norwich City,20-280,2001,2.0,0,5,2,40.0,2.51,1.01,0.00,0.00,10.2,0,0,0,1.3,1.3,0.25,-1.3,-1.3,Matches
186,Kelechi Iheanacho\c92e1a31,ng NGA,FWMF,Leicester City,25-074,1996,5.0,1,11,3,27.3,2.21,0.60,0.09,0.33,18.6,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
187,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,29-146,1992,9.7,3,12,5,41.7,1.24,0.52,0.17,0.40,13.6,0,1,1,2.2,1.5,0.12,+0.8,+0.5,Matches
188,Alex Iwobi\6ca5ec4b,ng NGA,MF,Everton,25-227,1996,6.9,1,14,5,35.7,2.02,0.72,0.07,0.20,15.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
189,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,24-036,1997,11.7,1,26,4,15.4,2.22,0.34,0.04,0.25,17.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
190,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,24-036,1997,1.4,0,4,1,25.0,2.86,0.71,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
191,Reece James\1265a93a,eng ENG,DF,Chelsea,22-008,1999,9.1,4,17,6,35.3,1.87,0.66,0.24,0.67,19.4,2,0,0,1.3,1.3,0.07,+2.7,+2.7,Matches
192,Vitaly Janelt\8449d35e,de GER,MF,Brentford,23-220,1998,11.2,1,9,5,55.6,0.81,0.45,0.11,0.20,16.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
193,Pontus Jansson\172e52d8,se SWE,DF,Brentford,30-306,1991,15.9,1,9,4,44.4,0.57,0.25,0.11,0.25,6.4,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
194,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,25-349,1996,5.8,0,2,0,0.0,0.34,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
195,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,24-257,1997,11.6,2,33,11,33.3,2.83,0.94,0.06,0.18,13.6,0,0,0,4.3,4.3,0.13,-2.3,-2.3,Matches
196,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,30-225,1991,14.5,3,31,7,22.6,2.14,0.48,0.10,0.43,14.9,0,0,0,3.3,3.3,0.11,-0.3,-0.3,Matches
197,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,25-124,1996,10.5,1,19,7,36.8,1.81,0.67,0.05,0.14,17.1,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
198,Ben Johnson\9319781b,eng ENG,DF,West Ham,21-326,2000,7.5,1,3,1,33.3,0.40,0.13,0.33,1.00,24.4,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
199,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,20-320,2001,3.6,1,6,1,16.7,1.68,0.28,0.17,1.00,20.2,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
200,Jorginho\45db685d,it ITA,MF,Chelsea,29-361,1991,12.0,4,5,1,20.0,0.42,0.08,0.00,0.00,31.2,0,4,4,3.2,0.2,0.04,+0.8,-0.2,Matches
201,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,25-012,1996,11.5,8,39,14,35.9,3.39,1.22,0.21,0.57,10.9,0,0,0,8.9,8.9,0.23,-0.9,-0.9,Matches
202,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,31-237,1990,4.8,1,2,1,50.0,0.42,0.21,0.50,1.00,6.9,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
203,Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,21-266,2000,7.2,0,4,2,50.0,0.55,0.28,0.00,0.00,15.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
204,Christian Kabasele\914ab9a1,be BEL,DF,Watford,30-295,1991,2.3,0,1,0,0.0,0.44,0.00,0.00,,6.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
205,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,28-141,1993,12.2,1,32,14,43.8,2.62,1.15,0.03,0.07,18.0,4,0,0,3.8,3.8,0.12,-2.8,-2.8,Matches
206,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,30-262,1991,5.5,2,5,4,80.0,0.91,0.73,0.40,0.50,18.8,0,0,0,0.5,0.5,0.10,+1.5,+1.5,Matches
207,Moise Kean\3d50bcdb,it ITA,FW,Everton,21-291,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
208,Michael Keane\c5b7c315,eng ENG,DF,Everton,28-339,1993,16.0,1,12,3,25.0,0.75,0.19,0.08,0.33,11.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
209,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,26-309,1995,4.0,2,8,3,37.5,1.99,0.75,0.25,0.67,21.9,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches
210,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-023,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
211,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,24-276,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
212,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,24-207,1997,17.0,1,9,3,33.3,0.53,0.18,0.11,0.33,7.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
213,Joshua King\43458538,no NOR,FW,Watford,29-335,1992,12.1,5,27,11,40.7,2.24,0.91,0.15,0.36,13.7,0,1,1,5.8,5.0,0.19,-0.8,-1.0,Matches
214,Mateusz Klich\282679b4,pl POL,MF,Leeds United,31-186,1990,8.7,1,19,9,47.4,2.20,1.04,0.05,0.11,20.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
215,Robin Koch\ea6bc03a,de GER,MF,Leeds United,25-152,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
216,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,28-179,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
217,Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,22-205,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
218,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,24-054,1997,15.5,2,12,6,50.0,0.77,0.39,0.17,0.33,7.0,0,0,0,1.3,1.3,0.11,+0.7,+0.7,Matches
219,Cheikhou Kouyaté\8d3c902d,sn SEN,MF,Crystal Palace,31-360,1989,12.7,0,4,0,0.0,0.32,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
220,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,27-224,1994,7.8,1,12,3,25.0,1.54,0.38,0.08,0.33,19.6,1,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
221,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,27-136,1994,5.0,0,2,0,0.0,0.40,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
222,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-257,1988,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,Juraj Kucka\5aaef9ef,sk SVK,MF,Watford,34-293,1987,11.1,1,24,7,29.2,2.16,0.63,0.04,0.14,21.7,2,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
224,Alexandre Lacazette\9dbb75ca,fr FRA,FWMF,Arsenal,30-202,1991,6.8,2,8,6,75.0,1.17,0.88,0.25,0.33,15.0,0,0,1,2.3,1.5,0.19,-0.3,+0.5,Matches
225,Adam Lallana\99813635,eng ENG,MF,Brighton,33-220,1988,11.9,0,11,2,18.2,0.92,0.17,0.00,0.00,17.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
226,Tariq Lamptey\f4e433d4,eng ENG,DFFW,Brighton,21-077,2000,5.5,0,5,2,40.0,0.92,0.37,0.00,0.00,11.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
227,Manuel Lanzini\26f6dca8,ar ARG,MFFW,West Ham,28-304,1993,4.1,2,4,1,25.0,0.98,0.24,0.25,1.00,27.8,1,1,1,0.9,0.2,0.04,+1.1,+0.8,Matches
228,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,27-203,1994,12.1,1,20,3,15.0,1.65,0.25,0.05,0.33,10.1,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
229,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,28-035,1993,12.0,1,10,2,20.0,0.83,0.17,0.10,0.50,9.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
230,Pierre Lees-Melou\f5044e54,fr FRA,MF,Norwich City,28-205,1993,9.6,0,14,4,28.6,1.45,0.42,0.00,0.00,22.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
231,Aaron Lennon\2ff964a0,eng ENG,MF,Burnley,34-244,1987,1.3,0,2,0,0.0,1.57,0.00,0.00,,31.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
232,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-287,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,23-325,1998,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
234,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,27-152,1994,12.1,0,2,1,50.0,0.17,0.08,0.00,0.00,7.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
235,Jesse Lingard\810e3c74,eng ENG,FW,Manchester Utd,29-001,1992,1.1,2,4,4,100.0,3.79,3.79,0.50,0.50,17.2,0,0,0,0.3,0.3,0.07,+1.7,+1.7,Matches
236,Valentino Livramento\afed6722,eng ENG,DF,Southampton,19-034,2002,16.9,1,8,2,25.0,0.47,0.12,0.13,0.50,17.3,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
237,Diego Llorente\bba30585,es ESP,DF,Leeds United,28-122,1993,12.1,1,4,1,25.0,0.33,0.08,0.25,1.00,9.0,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
238,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,34-355,1986,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
239,Giovani Lo Celso\d7553721,ar ARG,MFFW,Tottenham,25-251,1996,2.4,0,9,0,0.0,3.80,0.00,0.00,,18.5,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
240,Jürgen Locadia\6cc47ae1,nl NED,FW,Brighton,28-039,1993,0.3,0,1,0,0.0,3.91,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
241,Ruben Loftus-Cheek\e97fd090,eng ENG,MF,Chelsea,25-327,1996,7.0,0,13,3,23.1,1.85,0.43,0.00,0.00,17.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
242,Shane Long\9f472354,ie IRL,FWMF,Southampton,34-328,1987,0.4,0,2,1,50.0,4.74,2.37,0.00,0.00,9.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
243,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,24-047,1997,8.1,1,10,2,20.0,1.24,0.25,0.10,0.50,24.3,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
244,Ademola Lookman\7c104bb7,eng ENG,FWMF,Leicester City,24-057,1997,6.5,1,10,4,40.0,1.54,0.61,0.10,0.25,14.0,0,0,0,2.0,2.0,0.20,-1.0,-1.0,Matches
245,Imran Louza\e1df6989,ma MAR,MF,Watford,22-229,1999,3.1,0,4,0,0.0,1.27,0.00,0.00,,25.6,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
246,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,32-190,1989,14.8,1,8,2,25.0,0.54,0.13,0.13,0.50,20.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
247,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,23-221,1998,11.7,0,9,0,0.0,0.77,0.00,0.00,,25.4,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
248,Romelu Lukaku\5eae500a,be BEL,FW,Chelsea,28-217,1993,7.7,3,19,5,26.3,2.46,0.65,0.16,0.60,12.6,1,0,0,3.2,3.2,0.17,-0.2,-0.2,Matches
249,Lyanco\b5bf1770,br BRA,DF,Southampton,24-318,1997,3.9,0,3,0,0.0,0.77,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
250,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,22-357,1998,3.6,2,10,1,10.0,2.77,0.28,0.10,1.00,20.4,0,1,1,1.7,0.9,0.09,+0.3,+0.1,Matches
251,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,25-023,1996,11.2,4,29,13,44.8,2.60,1.17,0.14,0.31,19.8,4,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches
252,Harry Maguire\d8931174,eng ENG,DF,Manchester Utd,28-286,1993,13.5,0,12,4,33.3,0.89,0.30,0.00,0.00,13.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
253,Riyad Mahrez\892d5bb1,dz ALG,FW,Manchester City,30-298,1991,6.6,3,24,9,37.5,3.65,1.37,0.13,0.33,16.9,4,0,0,2.8,2.8,0.12,+0.2,+0.2,Matches
254,Ainsley Maitland-Niles\e3a5814e,eng ENG,MF,Arsenal,24-109,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
255,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,29-250,1992,15.1,7,51,17,33.3,3.37,1.12,0.14,0.41,12.7,0,0,0,8.3,8.3,0.16,-1.3,-1.3,Matches
256,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,27-225,1994,9.5,1,4,2,50.0,0.42,0.21,0.25,0.50,15.5,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
257,Fernando Marçal\9ae9eaea,br BRA,DF,Wolves,32-300,1989,8.6,0,5,0,0.0,0.58,0.00,0.00,,22.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
258,Solly March\bb5fbd2b,eng ENG,DFFW,Brighton,27-149,1994,8.5,0,11,7,63.6,1.30,0.82,0.00,0.00,17.1,2,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
259,Pablo Marí\aa54ec6f,es ESP,DF,Arsenal,28-107,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,4.1,0,0,0,0.3,0.3,0.31,-0.3,-0.3,Matches
260,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,26-011,1995,2.3,1,4,2,50.0,1.77,0.89,0.25,0.50,11.8,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
