,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
37,Harvey Barnes\3ea50f67,eng ENG,MFFW,Leicester City,21,1997,23.1,6,61,27,44.3,2.64,1.17,0.10,0.22,16.2,0,0,0,8.7,8.7,0.14,-2.7,-2.7,Matches
38,Chris Basham\1aa84968,eng ENG,DF,Sheffield Utd,31,1988,36.0,0,6,0,0.0,0.17,0.00,0.00,,12.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
39,Borja Bastón\8c44e37b,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi\2973d8ff,be BEL,FW,Chelsea,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.50,13.1,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches
41,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,23,1996,34.0,1,7,1,14.3,0.21,0.03,0.14,1.00,7.4,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
42,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.50,16.9,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
43,Ryan Bennett\0bad4516,eng ENG,DF,Wolves,29,1990,6.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Ryan Bennett\0bad4516,eng ENG,DF,Leicester City,29,1990,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Nabil Bentaleb\3189f61a,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0.0,0.48,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,28,1990,14.0,2,42,19,45.2,3.00,1.36,0.05,0.11,12.3,0,0,0,5.1,5.1,0.12,-3.1,-3.1,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,28,1990,6.9,1,11,2,18.2,1.59,0.29,0.09,0.50,14.5,2,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
48,Sander Berge\d0b6129f,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,13.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
49,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,21,1997,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,15.0,0,0,0,1.2,1.2,0.13,+1.8,+1.8,Matches
50,Bernard\ab4b3e35,br BRA,MFFW,Everton,26,1992,14.2,3,12,4,33.3,0.84,0.28,0.25,0.75,15.7,1,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches
51,Bernardo\17370b95,br BRA,DF,Brighton,24,1995,7.5,0,7,2,28.6,0.93,0.27,0.00,0.00,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
52,Ryan Bertrand\01226327,eng ENG,DF,Southampton,29,1989,30.5,1,19,4,21.1,0.62,0.13,0.05,0.25,19.7,1,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
53,Muhamed Bešić\7ca9f0f0,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,4,2,50.0,1.44,0.72,0.00,0.00,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
54,Philip Billing\d328a254,dk DEN,MF,Bournemouth,23,1996,28.1,1,34,8,23.5,1.21,0.28,0.03,0.13,19.0,1,0,0,2.5,2.5,0.07,-1.5,-1.5,Matches
55,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,22,1996,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,28.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
56,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,28,1991,22.0,0,4,3,75.0,0.18,0.14,0.00,0.00,10.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
57,Gaëtan Bong\cfd5e123,cm CMR,MFDF,Brighton,31,1988,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Sofiane Boufal\b0c71810,ma MAR,MFFW,Southampton,25,1993,8.5,0,21,7,33.3,2.47,0.82,0.00,0.00,20.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
59,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,22,1996,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,17.9,0,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
60,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,27,1992,5.0,1,12,1,8.3,2.38,0.20,0.08,1.00,15.2,2,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
61,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,17,2002,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Claudio Bravo\10072610,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Armando Broja\97220da2,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,David Brooks\dc4cae05,wls WAL,MF,Bournemouth,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.50,21.7,1,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
65,Josh Brownhill\47369df8,eng ENG,MF,Burnley,23,1995,8.9,0,5,0,0.0,0.56,0.00,0.00,,15.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
66,Emi Buendía\66b76d44,ar ARG,FWMF,Norwich City,22,1996,27.4,1,40,11,27.5,1.46,0.40,0.03,0.09,22.1,10,0,0,2.2,2.2,0.05,-1.2,-1.2,Matches
67,Dan Burn\b2d31e83,eng ENG,DF,Brighton,27,1992,32.0,0,13,0,0.0,0.41,0.00,0.00,,11.6,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
68,Sam Byram\1bf811d4,eng ENG,DF,Norwich City,25,1993,14.4,0,16,2,12.5,1.11,0.14,0.00,0.00,11.3,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
69,Willy Caballero\a179d516,ar ARG,GK,Chelsea,37,1981,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Gary Cahill\7914b9fe,eng ENG,DF,Crystal Palace,33,1985,24.1,0,20,5,25.0,0.83,0.21,0.00,0.00,11.6,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
71,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,22,1997,29.2,13,83,37,44.6,2.84,1.27,0.16,0.35,12.2,0,0,0,14.3,14.3,0.17,-1.3,-1.3,Matches
72,Víctor Camarasa\b2d03887,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,João Cancelo\bd6351cd,pt POR,DF,Manchester City,25,1994,13.4,0,15,4,26.7,1.12,0.30,0.00,0.00,23.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
74,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,21,1998,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,15.7,0,0,0,5.8,5.8,0.14,+0.2,+0.2,Matches
75,Étienne Capoue\5acc4a10,fr FRA,MF,Watford,31,1988,29.2,0,19,1,5.3,0.65,0.03,0.00,0.00,26.6,2,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
76,Andy Carroll\b581987a,eng ENG,FW,Newcastle Utd,30,1989,7.0,0,15,3,20.0,2.14,0.43,0.00,0.00,13.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
77,Jonny Castro\e28868f3,es ESP,DF,Wolves,25,1994,32.1,2,17,5,29.4,0.53,0.16,0.12,0.40,17.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
78,Craig Cathcart\89e4b358,nir NIR,DF,Watford,30,1989,27.6,0,2,1,50.0,0.07,0.04,0.00,0.00,8.0,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
79,Dani Ceballos\c0617e2b,es ESP,MF,Arsenal,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.00,0.00,21.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
80,Nathaniel Chalobah\422862ea,eng ENG,MF,Watford,24,1994,10.3,0,9,0,0.0,0.87,0.00,0.00,,21.6,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
81,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.50,11.6,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
82,Ben Chilwell\d2424d1b,eng ENG,DF,Leicester City,22,1996,26.4,3,15,6,40.0,0.57,0.23,0.20,0.50,18.1,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
83,Tahith Chong\2696b6a9,nl NED,FWDF,Manchester Utd,19,1999,0.4,0,1,0,0.0,2.43,0.00,0.00,,12.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
84,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,21,1997,9.9,1,7,2,28.6,0.71,0.20,0.14,0.50,16.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
85,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,23,1996,19.5,0,7,2,28.6,0.36,0.10,0.00,0.00,11.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
86,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,29,1989,13.2,2,6,4,66.7,0.46,0.30,0.33,0.50,8.2,0,0,0,1.3,1.3,0.22,+0.7,+0.7,Matches
87,Leon Clarke\91c975a0,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0,1,0,0.0,2.57,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
88,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,29,1989,10.8,1,17,5,29.4,1.58,0.46,0.06,0.20,16.9,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
89,Conor Coady\2928dca2,eng ENG,DF,Wolves,26,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Séamus Coleman\0420d84f,ie IRL,DF,Everton,30,1988,20.4,0,8,3,37.5,0.39,0.15,0.00,0.00,16.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
91,Aaron Connolly\27c01749,ie IRL,FW,Brighton,19,2000,14.0,3,38,13,34.2,2.72,0.93,0.08,0.23,15.9,0,0,0,3.2,3.2,0.08,-0.2,-0.2,Matches
92,Lewis Cook\2afc7272,eng ENG,MF,Bournemouth,22,1997,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,23.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
93,Steve Cook\3e5e4e63,eng ENG,DF,Bournemouth,28,1991,27.0,1,13,2,15.4,0.48,0.07,0.08,0.50,12.1,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
94,Jack Cork\74e12f1e,eng ENG,MF,Burnley,30,1989,29.0,0,18,5,27.8,0.62,0.17,0.00,0.00,13.7,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Matches
95,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,29,1989,30.3,3,18,5,27.8,0.59,0.17,0.17,0.60,20.1,7,0,0,1.3,1.3,0.07,+1.7,+1.7,Matches
96,Patrick Cutrone\a4fe8cda,it ITA,FW,Wolves,21,1998,3.3,2,11,3,27.3,3.33,0.91,0.18,0.67,12.5,0,0,0,2.4,2.4,0.21,-0.4,-0.4,Matches
97,Diogo Dalot\d9565625,pt POR,DFMF,Manchester Utd,20,1999,0.7,0,1,0,0.0,1.34,0.00,0.00,,7.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
98,Charlie Daniels\9d107085,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Scott Dann\52105203,eng ENG,DF,Crystal Palace,32,1987,14.1,0,8,2,25.0,0.57,0.14,0.00,0.00,8.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
100,Kevin Danso\6e33125f,at AUT,DF,Southampton,20,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
101,Ben Davies\44781702,wls WAL,DF,Tottenham,26,1993,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,23.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
102,Tom Davies\9228b07c,eng ENG,MF,Everton,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.20,15.9,0,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
103,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,21,1998,6.1,0,16,5,31.3,2.63,0.82,0.00,0.00,9.4,0,0,0,1.9,1.9,0.12,-1.9,-1.9,Matches
104,Craig Dawson\3e9e06cb,eng ENG,DF,Watford,29,1990,26.2,2,23,7,30.4,0.88,0.27,0.09,0.29,9.2,0,0,0,2.3,2.3,0.10,-0.3,-0.3,Matches
105,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,28,1991,31.0,13,96,27,28.1,3.10,0.87,0.11,0.41,21.1,11,2,2,7.6,6.1,0.06,+5.4,+4.9,Matches
106,Troy Deeney\82e34b69,eng ENG,FW,Watford,31,1988,24.7,10,38,16,42.1,1.54,0.65,0.13,0.31,15.2,0,5,6,9.8,5.2,0.14,+0.2,-0.2,Matches
107,Fabian Delph\111c3236,eng ENG,MF,Everton,29,1989,13.2,0,3,0,0.0,0.23,0.00,0.00,,29.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
108,Leander Dendoncker\5a7301ae,be BEL,MFDF,Wolves,24,1995,31.1,4,20,5,25.0,0.64,0.16,0.20,0.80,13.4,0,0,0,1.6,1.6,0.08,+2.4,+2.4,Matches
109,Gerard Deulofeu\39583cfd,es ESP,FW,Watford,25,1994,23.3,4,63,22,34.9,2.70,0.94,0.05,0.14,18.5,8,1,1,5.2,4.5,0.07,-1.2,-1.5,Matches
110,Eric Dier\ac861941,eng ENG,DFMF,Tottenham,25,1994,14.9,0,8,1,12.5,0.54,0.07,0.00,0.00,14.0,1,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
111,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,26,1993,33.7,0,29,5,17.2,0.86,0.15,0.00,0.00,24.3,13,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
112,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,28,1991,38.0,5,30,14,46.7,0.79,0.37,0.17,0.36,11.3,0,0,0,2.9,2.9,0.10,+2.1,+2.1,Matches
113,Issa Diop\a712ca2b,fr FRA,DF,West Ham,22,1997,30.7,3,15,6,40.0,0.49,0.20,0.20,0.50,7.7,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches
114,Moussa Djenepo\254147d4,ml MLI,MFDF,Southampton,21,1998,10.3,2,20,7,35.0,1.94,0.68,0.10,0.29,17.4,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
115,Matt Doherty\d557d734,ie IRL,DF,Wolves,27,1992,31.5,4,34,15,44.1,1.08,0.48,0.12,0.27,10.9,0,0,0,5.2,5.2,0.15,-1.2,-1.2,Matches
116,Abdoulaye Doucouré\02b29014,fr FRA,MF,Watford,26,1993,35.1,4,62,12,19.4,1.77,0.34,0.06,0.33,16.7,0,0,0,5.3,5.3,0.09,-1.3,-1.3,Matches
117,Thomas Doyle\5526deb1,eng ENG,MF,Manchester City,17,2001,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,19.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
118,Danny Drinkwater\2649ff32,eng ENG,MF,Aston Villa,29,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
119,Danny Drinkwater\2649ff32,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Josip Drmić\15ea94de,ch SUI,FWMF,Norwich City,26,1992,7.2,1,13,5,38.5,1.81,0.70,0.08,0.20,13.2,0,0,0,2.6,2.6,0.23,-1.6,-1.6,Matches
121,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,30,1989,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Ondrej Duda\79ca3e23,sk SVK,MF,Norwich City,24,1994,8.0,0,10,3,30.0,1.24,0.37,0.00,0.00,20.4,2,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
123,Shane Duffy\7314bba4,ie IRL,DF,Brighton,27,1992,13.8,1,6,1,16.7,0.44,0.07,0.17,1.00,11.4,0,0,0,1.5,1.5,0.25,-0.5,-0.5,Matches
124,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,27,1991,13.6,0,1,1,100.0,0.07,0.07,0.00,0.00,7.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
125,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,27,1991,35.9,3,30,10,33.3,0.84,0.28,0.10,0.30,11.0,5,0,0,4.0,4.0,0.13,-1.0,-1.0,Matches
126,Ederson\3bb7b8b4,br BRA,GK,Manchester City,25,1993,34.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,John Egan\debe38a0,ie IRL,DF,Sheffield Utd,26,1992,35.4,2,28,5,17.9,0.79,0.14,0.07,0.40,8.8,0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
128,Harvey Elliott\c8387671,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Ahmed Elmohamady\615ef733,eg EGY,DF,Aston Villa,31,1987,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,11.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
130,Björn Engels\4fdf1fd9,be BEL,DF,Aston Villa,24,1994,16.1,1,7,1,14.3,0.44,0.06,0.14,1.00,6.2,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
131,Christian Eriksen\980522ec,dk DEN,MFFW,Tottenham,27,1992,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,24.2,7,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
132,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,31,1988,37.6,1,24,10,41.7,0.64,0.27,0.04,0.10,7.7,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches
133,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,34,1985,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Fabinho\7f3b388c,br BRA,MF,Liverpool,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.50,26.7,2,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
135,Ralf Fährmann\1e43fad8,de GER,GK,Norwich City,30,1988,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Akin Famewo\9d9a71c1,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,28,1991,24.9,0,5,1,20.0,0.20,0.04,0.00,0.00,26.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
