,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
22,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,21,1998,10.0,1,7,2,28.6,0.70,0.20,0.14,0.50,17.2,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
23,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.8,0,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
24,Ethan Ampadu\10b9fa99,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
25,Joachim Andersen\e34fc66d,dk DEN,DF,Fulham,24,1996,30.3,1,13,3,23.1,0.43,0.10,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
26,Elliot Anderson\de31038e,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Felipe Anderson\9f1893b9,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Michail Antonio\ac05f970,jm JAM,FW,West Ham,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4,Matches
29,Alphonse Areola\2f965a72,fr FRA,GK,Fulham,27,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,28,1992,30.7,4,54,12,22.2,1.76,0.39,0.07,0.33,20.8,0,0,0,3.0,3.0,0.05,+1.0,+1.0,Matches
31,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,25,1994,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,31,1989,25.9,10,56,19,33.9,2.16,0.73,0.14,0.42,13.5,0,2,2,10.6,9.1,0.16,-0.6,-1.1,Matches
33,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,27,1992,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
34,Charlie Austin\8d228291,eng ENG,FW,West Brom,31,1989,1.5,0,3,0,0.0,1.96,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
35,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,28,1991,23.3,1,25,11,44.0,1.07,0.47,0.04,0.09,16.7,0,0,0,2.4,2.4,0.09,-1.4,-1.4,Matches
36,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,28,1991,37.8,0,25,6,24.0,0.66,0.16,0.00,0.00,18.6,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
37,César Azpilicueta\53cad200,es ESP,DF,Chelsea,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
38,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,26,1994,10.2,0,2,0,0.0,0.20,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
39,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,28,1991,13.3,1,8,2,25.0,0.60,0.15,0.13,0.50,9.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
40,George Baldock\394854c4,eng ENG,DF,Sheffield Utd,27,1993,31.0,0,13,2,15.4,0.42,0.06,0.00,0.00,16.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
41,Gareth Bale\a58bb1e1,wls WAL,FW,Tottenham,31,1989,10.2,11,38,19,50.0,3.72,1.86,0.29,0.58,18.2,7,0,0,5.3,5.3,0.15,+5.7,+5.7,Matches
42,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,26,1993,33.9,17,105,45,42.9,3.10,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7,Matches
43,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,35,1985,3.0,0,4,0,0.0,1.31,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Ross Barkley\3a24769f,eng ENG,MF,Aston Villa,26,1993,17.0,3,38,11,28.9,2.23,0.65,0.08,0.27,18.4,2,0,0,3.2,3.2,0.08,-0.2,-0.2,Matches
45,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,26,1993,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
46,Ashley Barnes\2691c772,eng ENG,FW,Burnley,30,1989,14.8,3,39,12,30.8,2.64,0.81,0.05,0.17,15.7,0,1,1,5.1,4.4,0.11,-2.1,-2.4,Matches
47,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,22,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,+2.8,+2.8,Matches
48,Kyle Bartley\18e96f64,eng ENG,DF,West Brom,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.60,8.2,0,0,0,2.1,2.1,0.15,+0.9,+0.9,Matches
49,Chris Basham\1aa84968,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,0,10,1,10.0,0.35,0.03,0.00,0.00,13.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
50,Michy Batshuayi\2973d8ff,be BEL,FW,Crystal Palace,26,1993,8.1,2,12,6,50.0,1.48,0.74,0.17,0.33,16.9,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
51,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,24,1996,34.4,1,10,5,50.0,0.29,0.15,0.10,0.20,8.9,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
52,Donny van de Beek\50dc94ce,nl NED,MFFW,Manchester Utd,23,1997,5.8,1,2,1,50.0,0.34,0.17,0.50,1.00,18.6,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
53,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.20,19.1,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
54,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
55,Josh Benson\bf3aeb61,eng ENG,MF,Burnley,20,1999,2.9,0,2,0,0.0,0.68,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
56,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.30,11.5,0,0,0,8.1,8.1,0.11,+1.9,+1.9,Matches
57,Gaetano Berardi\5348aada,ch SUI,DF,Leeds United,31,1988,1.3,0,1,0,0.0,0.80,0.00,0.00,,9.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
58,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,19.9,1,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
59,Sander Berge\d0b6129f,no NOR,MF,Sheffield Utd,22,1998,12.4,1,9,1,11.1,0.72,0.08,0.00,0.00,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
60,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,22,1997,13.4,1,15,5,33.3,1.12,0.37,0.07,0.20,16.3,0,0,0,2.5,2.5,0.17,-1.5,-1.5,Matches
61,Bernard\ab4b3e35,br BRA,MFFW,Everton,27,1992,5.1,1,6,2,33.3,1.19,0.40,0.17,0.50,20.4,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
62,Bernardo\17370b95,br BRA,DFMF,Brighton,25,1995,2.3,0,4,0,0.0,1.75,0.00,0.00,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
63,Ryan Bertrand\01226327,eng ENG,DF,Southampton,30,1989,28.9,0,8,3,37.5,0.28,0.10,0.00,0.00,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
64,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,25.3,2,0,0,1.2,1.2,0.03,-0.2,-0.2,Matches
65,Jayden Bogle\ae5019e6,eng ENG,DF,Sheffield Utd,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,12.3,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Matches
66,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,29,1991,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,12.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
67,Jarrod Bowen\79c84d1c,eng ENG,FWMF,West Ham,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.50,16.2,0,0,0,6.3,6.3,0.11,+1.7,+1.7,Matches
68,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,28,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.20,19.8,4,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
69,Rhian Brewster\30e81a88,eng ENG,FW,Sheffield Utd,20,2000,12.5,0,25,7,28.0,1.99,0.56,0.00,0.00,19.6,1,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
70,Nathan Broadhead\43309491,wls WAL,MF,Everton,22,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,Josh Brownhill\47369df8,eng ENG,MF,Burnley,24,1995,31.3,0,36,8,22.2,1.15,0.26,0.00,0.00,20.4,8,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches
72,Joe Bryan\af69e7f0,eng ENG,DFFW,Fulham,26,1993,7.4,1,8,2,25.0,1.08,0.27,0.13,0.50,21.6,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
73,Kean Bryan\c684d3c9,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,2,1,50.0,0.18,0.09,0.50,1.00,4.8,0,0,0,0.4,0.4,0.20,+0.6,+0.6,Matches
74,Oliver Burke\f631c17f,sct SCO,FW,Sheffield Utd,23,1997,14.1,1,25,6,24.0,1.77,0.43,0.04,0.17,14.6,0,0,0,2.4,2.4,0.10,-1.4,-1.4,Matches
75,Dan Burn\b2d31e83,eng ENG,DF,Brighton,28,1992,22.9,1,16,6,37.5,0.70,0.26,0.06,0.17,14.2,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
76,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,David Button\e608ed4c,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Oskar Buur\aa6f2f2c,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,Willy Caballero\a179d516,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Gary Cahill\7914b9fe,eng ENG,DF,Crystal Palace,34,1985,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
81,Tom Cairney\a8748947,sct SCO,MF,Fulham,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20.0,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
82,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,23,1997,31.9,16,81,46,56.8,2.54,1.44,0.20,0.35,11.7,0,0,0,15.4,15.4,0.19,+0.6,+0.6,Matches
83,João Cancelo\bd6351cd,pt POR,DF,Manchester City,26,1994,25.5,2,35,11,31.4,1.37,0.43,0.06,0.18,21.5,0,0,0,2.0,2.0,0.06,0.0,0.0,Matches
84,Ian Carlo Poveda\55b4f1d6,eng ENG,MFDF,Leeds United,20,2000,3.9,0,5,3,60.0,1.27,0.76,0.00,0.00,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
85,Andy Carroll\b581987a,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,14,2,14.3,3.21,0.46,0.07,0.50,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
86,Scott Carson\3e1550ee,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Fabio Carvalho\966e28d0,eng ENG,MFFW,Fulham,17,2002,2.8,1,9,4,44.4,3.18,1.41,0.11,0.25,14.8,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
88,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,22,1997,26.4,0,9,2,22.2,0.34,0.08,0.00,0.00,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
89,Kiko Casilla\58bc7d18,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Timothy Castagne\197640fd,be BEL,DF,Leicester City,24,1995,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.3,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches
91,Jonny Castro\e28868f3,es ESP,DF,Wolves,26,1994,5.5,0,1,0,0.0,0.18,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
92,Ivan Cavaleiro\979b811d,pt POR,FWMF,Fulham,26,1993,27.5,3,46,16,34.8,1.67,0.58,0.04,0.13,17.6,1,1,2,6.2,4.7,0.10,-3.2,-2.7,Matches
93,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,33,1987,15.3,10,35,15,42.9,2.29,0.98,0.29,0.67,11.1,0,0,0,7.4,7.4,0.21,+2.6,+2.6,Matches
94,Dani Ceballos\c0617e2b,es ESP,MF,Arsenal,23,1996,17.9,0,12,2,16.7,0.67,0.11,0.00,0.00,21.7,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
95,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,25,1995,8.4,0,8,0,0.0,0.96,0.00,0.00,,15.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
96,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,23,1996,25.4,3,27,10,37.0,1.06,0.39,0.11,0.30,14.0,0,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches
97,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,22,1997,3.5,0,4,1,25.0,1.14,0.28,0.00,0.00,19.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
98,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,24,1996,15.2,0,3,0,0.0,0.20,0.00,0.00,,11.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
99,Carney Chukwuemeka\b2f9c73e,eng ENG,FWMF,Aston Villa,16,2004,0.2,0,1,0,0.0,4.50,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
100,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,30,1989,21.0,1,8,2,25.0,0.38,0.10,0.13,0.50,10.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
101,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,29,1991,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
102,Conor Coady\2928dca2,eng ENG,DF,Wolves,27,1993,36.7,1,8,2,25.0,0.22,0.05,0.13,0.50,10.6,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
103,Séamus Coleman\0420d84f,ie IRL,DFMF,Everton,31,1988,17.9,0,12,4,33.3,0.67,0.22,0.00,0.00,19.1,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
104,Aaron Connolly\27c01749,ie IRL,FW,Brighton,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,13.7,0,0,0,3.5,3.5,0.15,-1.5,-1.5,Matches
105,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
106,Theo Corbeanu\25b82f9a,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Jack Cork\74e12f1e,eng ENG,MF,Burnley,31,1989,15.0,0,5,0,0.0,0.33,0.00,0.00,,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
108,Hélder Costa\f13d02a6,ao ANG,MFFW,Leeds United,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.50,14.3,0,0,0,2.0,2.0,0.12,+1.0,+1.0,Matches
109,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,27,1992,33.9,0,15,5,33.3,0.44,0.15,0.00,0.00,16.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
110,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,30,1989,35.2,0,19,4,21.1,0.54,0.11,0.00,0.00,24.6,11,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
111,Patrick Cutrone\a4fe8cda,it ITA,FW,Wolves,22,1998,0.3,0,1,0,0.0,3.60,0.00,0.00,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
112,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,19.7,0,0,0,4.6,4.6,0.10,+3.4,+3.4,Matches
113,Scott Dann\52105203,eng ENG,DF,Crystal Palace,33,1987,15.0,1,5,2,40.0,0.33,0.13,0.20,0.50,9.2,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
114,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,29,1990,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Ben Davies\44781702,wls WAL,DF,Tottenham,27,1993,15.0,0,3,0,0.0,0.20,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
116,Tom Davies\9228b07c,eng ENG,MF,Everton,22,1998,15.8,0,7,0,0.0,0.44,0.00,0.00,,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
117,Keinan Davis\9deaf2c8,eng ENG,FWMF,Aston Villa,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.50,9.6,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
118,Leif Davis\8574c61f,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.60,8.3,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
120,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,29,1991,22.2,6,79,25,31.6,3.56,1.13,0.05,0.16,20.2,10,2,3,9.7,7.4,0.09,-3.7,-3.4,Matches
121,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,17,2003,0.4,0,1,0,0.0,2.25,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
122,Fabian Delph\111c3236,eng ENG,MFDF,Everton,30,1989,3.0,0,1,0,0.0,0.34,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
123,Leander Dendoncker\5a7301ae,be BEL,MFDF,Wolves,25,1995,27.8,1,32,8,25.0,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.10,-2.3,-2.3,Matches
124,Mbaye Diagne\dda3969e,sn SEN,FW,West Brom,28,1991,13.2,3,25,9,36.0,1.89,0.68,0.12,0.33,10.0,0,0,0,5.0,5.0,0.20,-2.0,-2.0,Matches
125,Amad Diallo\9dc96f10,ci CIV,FW,Manchester Utd,18,2002,1.8,0,1,1,100.0,0.54,0.54,0.00,0.00,22.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
126,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,21,1999,11.3,0,8,2,25.0,0.71,0.18,0.00,0.00,20.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
127,Grady Diangana\f522d7ec,eng ENG,MFFW,West Brom,22,1998,13.7,1,14,5,35.7,1.02,0.36,0.07,0.20,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
128,Raphael Dias Belloli\3423f250,br BRA,MF,Leeds United,23,1996,26.2,6,68,27,39.7,2.59,1.03,0.09,0.22,16.3,4,0,0,6.0,6.0,0.09,0.0,0.0,Matches
129,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,23,1997,31.6,1,14,7,50.0,0.44,0.22,0.07,0.14,7.5,0,0,0,2.4,2.4,0.17,-1.4,-1.4,Matches
130,Eric Dier\ac861941,eng ENG,DF,Tottenham,26,1994,28.0,0,14,2,14.3,0.50,0.07,0.00,0.00,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
131,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,27,1993,29.8,0,13,0,0.0,0.44,0.00,0.00,,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
132,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,29,1991,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,13.5,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
133,Issa Diop\a712ca2b,fr FRA,DF,West Ham,23,1997,15.3,2,3,2,66.7,0.20,0.13,0.67,1.00,8.2,0,0,0,0.3,0.3,0.11,+1.7,+1.7,Matches
134,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.50,19.1,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
135,Matt Doherty\d557d734,ie IRL,DF,Tottenham,28,1992,13.8,0,3,1,33.3,0.22,0.07,0.00,0.00,16.0,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
136,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.50,11.3,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
