,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,22.3,4,0,0,3.4,3.4,0.10,+1.6,+1.6,Matches
2,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,0,2,0,0.0,1.29,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
3,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,19,1997,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,12.3,0,0,0,6.7,6.7,0.16,-1.7,-1.7,Matches
4,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,31,1985,4.6,0,10,2,20.0,2.19,0.44,0.00,0.00,32.8,3,0,1,1.2,0.4,0.04,-1.2,-0.4,Matches
5,Adrián\f76e6b4e,es ESP,GK,West Ham,30,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,31,1986,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,24,1993,6.8,0,8,3,37.5,1.18,0.44,0.00,0.00,7.9,0,0,0,1.2,1.2,0.16,-1.2,-1.2,Matches
8,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,29,1988,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.7,1,4,4,17.5,14.4,0.16,+3.5,+2.6,Matches
9,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,22,1995,37.3,2,20,6,30.0,0.54,0.16,0.10,0.33,9.2,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches
10,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,27,1989,28.2,2,20,6,30.0,0.71,0.21,0.10,0.33,20.0,1,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
11,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,28,1989,13.1,0,10,1,10.0,0.76,0.08,0.00,0.00,20.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
12,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,18,1998,17.5,1,13,6,46.2,0.74,0.34,0.08,0.17,21.9,1,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
13,Joe Allen\9feb8f24,wls WAL,MF,Stoke City,27,1990,34.9,2,25,4,16.0,0.72,0.11,0.08,0.50,17.6,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
14,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,21,1996,32.9,9,72,17,23.6,2.19,0.52,0.13,0.53,14.9,0,0,0,8.8,8.8,0.13,+0.2,+0.2,Matches
15,Marcos Alonso\f4290206,es ESP,DF,Chelsea,26,1990,31.7,7,65,23,35.4,2.05,0.73,0.11,0.30,16.7,9,0,0,4.2,4.2,0.06,+2.8,+2.8,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,22,1994,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Ethan Ampadu\10b9fa99,wls WAL,DF,Chelsea,16,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
