,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
18,Nordin Amrabat\7c2a398c,ma MAR,FW,Watford,30,1987,2.2,0,1,0,0.0,0.45,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
19,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,27,1990,15.0,3,35,15,42.9,2.33,1.00,0.09,0.20,20.9,0,0,0,2.6,2.6,0.07,+0.4,+0.4,Matches
20,Scott Arfield\b1313ec4,ca CAN,MF,Burnley,28,1988,14.8,2,19,7,36.8,1.28,0.47,0.11,0.29,16.7,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
21,Marko Arnautović\00459419,at AUT,FWMF,West Ham,28,1989,25.7,11,69,32,46.4,2.68,1.25,0.16,0.34,13.7,0,0,0,10.4,10.4,0.15,+0.6,+0.6,Matches
22,Harry Arter\2f4c5a52,ie IRL,MF,Bournemouth,27,1989,10.7,1,11,1,9.1,1.03,0.09,0.09,1.00,25.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
23,Christian Atsu\8816329f,gh GHA,FWMF,Newcastle Utd,25,1992,19.8,2,35,13,37.1,1.77,0.66,0.06,0.15,16.8,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches
24,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,28,1989,11.7,10,28,16,57.1,2.38,1.36,0.32,0.56,13.7,1,1,2,9.0,7.5,0.27,+1.0,+1.5,Matches
25,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,24,1992,15.9,2,17,6,35.3,1.07,0.38,0.12,0.33,21.1,0,0,0,0.7,0.7,0.04,+1.3,+1.3,Matches
26,Charlie Austin\8d228291,eng ENG,FW,Southampton,28,1989,11.5,7,49,25,51.0,4.25,2.17,0.12,0.24,14.6,0,1,1,8.6,7.8,0.16,-1.6,-1.8,Matches
27,André Ayew\5dbefa9d,gh GHA,FWMF,Swansea City,27,1989,10.6,0,14,7,50.0,1.33,0.66,0.00,0.00,12.8,0,0,0,2.0,2.0,0.15,-2.0,-2.0,Matches
28,André Ayew\5dbefa9d,gh GHA,MFFW,West Ham,27,1989,9.9,3,12,5,41.7,1.21,0.50,0.25,0.60,12.9,0,0,1,2.9,2.2,0.18,+0.1,+0.8,Matches
29,Jordan Ayew\da052c14,gh GHA,FWMF,Swansea City,25,1991,31.7,7,64,19,29.7,2.02,0.60,0.09,0.32,18.2,4,1,1,7.0,6.2,0.10,0.0,-0.2,Matches
30,César Azpilicueta\53cad200,es ESP,DF,Chelsea,27,1989,37.0,2,14,4,28.6,0.38,0.11,0.14,0.50,19.6,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,23,1994,11.1,1,3,1,33.3,0.27,0.09,0.33,1.00,4.4,0,0,0,1.0,1.0,0.32,0.0,0.0,Matches
32,Leighton Baines\b18095b6,eng ENG,DF,Everton,32,1984,21.2,2,5,2,40.0,0.24,0.09,0.00,0.00,24.8,2,2,2,2.0,0.4,0.09,0.0,-0.4,Matches
33,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Chelsea,22,1994,23.6,2,42,8,19.0,1.78,0.34,0.05,0.25,17.4,0,0,0,3.5,3.5,0.08,-1.5,-1.5,Matches
34,Sam Baldock\9d597f08,eng ENG,MF,Brighton,28,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Beni Baningime\ca9178af,cd COD,MF,Everton,18,1998,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,32,1985,12.5,0,2,2,100.0,0.16,0.16,0.00,0.00,33.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
37,Ross Barkley\3a24769f,eng ENG,MFFW,Chelsea,23,1993,1.4,0,2,2,100.0,1.40,1.40,0.00,0.00,11.5,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
38,Ashley Barnes\2691c772,eng ENG,FWMF,Burnley,27,1989,24.1,9,59,23,39.0,2.45,0.96,0.15,0.39,14.6,0,0,0,5.9,5.9,0.10,+3.1,+3.1,Matches
39,Harvey Barnes\3ea50f67,eng ENG,MF,Leicester City,19,1997,0.1,0,1,0,0.0,9.00,0.00,0.00,,8.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
40,Gareth Barry\7dbbe367,eng ENG,MF,West Brom,36,1981,21.4,1,15,5,33.3,0.70,0.23,0.07,0.20,18.4,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
41,Kyle Bartley\18e96f64,eng ENG,DF,Swansea City,26,1991,2.6,0,2,0,0.0,0.77,0.00,0.00,,7.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
42,Michy Batshuayi\2973d8ff,be BEL,FW,Chelsea,23,1993,4.0,2,13,5,38.5,3.25,1.25,0.15,0.40,17.7,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
43,Moritz Bauer\cfe6238d,at AUT,DFMF,Stoke City,25,1992,14.5,0,3,1,33.3,0.21,0.07,0.00,0.00,18.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
44,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,21,1996,4.7,1,1,1,100.0,0.21,0.21,1.00,1.00,7.2,0,0,0,0.2,0.2,0.24,+0.8,+0.8,Matches
45,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,30,1987,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,22,1995,33.9,2,29,8,27.6,0.86,0.24,0.07,0.25,16.8,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
47,Yohan Benalouane\8309b068,tn TUN,DF,Leicester City,30,1987,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
48,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,26,1990,24.9,3,59,17,28.8,2.37,0.68,0.03,0.12,11.1,0,1,2,10.0,8.5,0.14,-7.0,-6.5,Matches
49,Saido Berahino\25b166d0,bi BDI,FW,Stoke City,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.00,0.00,19.1,0,0,1,1.7,0.9,0.10,-1.7,-0.9,Matches
50,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,26,1990,31.5,2,56,19,33.9,1.78,0.60,0.04,0.11,21.1,6,0,0,3.7,3.7,0.07,-1.7,-1.7,Matches
51,Ryan Bertrand\01226327,eng ENG,DF,Southampton,27,1989,34.8,0,20,2,10.0,0.57,0.06,0.00,0.00,19.6,3,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
52,Muhamed Bešić\7ca9f0f0,ba BIH,MF,Everton,24,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Philip Billing\d328a254,dk DEN,MF,Huddersfield,21,1996,8.5,0,7,2,28.6,0.82,0.24,0.00,0.00,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
54,Mame Biram Diouf\7f4f3e49,sn SEN,FWDF,Stoke City,29,1987,28.8,6,59,19,32.2,2.05,0.66,0.10,0.32,13.1,0,0,0,7.3,7.3,0.12,-1.3,-1.3,Matches
55,Daley Blind\691bef82,nl NED,DFMF,Manchester Utd,27,1990,4.0,0,3,0,0.0,0.75,0.00,0.00,,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
56,Jeremie Boga\fe012aca,ci CIV,FW,Chelsea,20,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Yannick Bolasie\715fc0fe,cd COD,FW,Everton,28,1989,9.5,1,20,6,30.0,2.12,0.63,0.05,0.17,16.2,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
58,Gaëtan Bong\cfd5e123,cm CMR,DF,Brighton,29,1988,24.8,0,4,1,25.0,0.16,0.04,0.00,0.00,29.6,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
59,Wilfried Bony\61abe9b6,ci CIV,FW,Swansea City,28,1988,7.9,2,20,7,35.0,2.55,0.89,0.10,0.29,17.0,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
60,Sofiane Boufal\b0c71810,ma MAR,FWMF,Southampton,23,1993,13.5,2,29,6,20.7,2.14,0.44,0.07,0.33,17.7,0,0,0,2.1,2.1,0.07,-0.1,-0.1,Matches
61,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,25,1992,14.2,1,23,6,26.1,1.62,0.42,0.04,0.17,21.6,5,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
62,Claudio Bravo\10072610,cl CHI,GK,Manchester City,34,1983,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Miguel Britos\356a9a62,uy URU,DF,Watford,32,1985,8.9,1,4,2,50.0,0.45,0.23,0.25,0.50,16.7,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches
64,Leon Britton\b92dd711,eng ENG,MF,Swansea City,34,1982,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Izzy Brown\bf54c8cc,eng ENG,MFFW,Brighton,20,1997,3.5,0,2,1,50.0,0.58,0.29,0.00,0.00,17.0,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
66,Bruno\78803d03,es ESP,DF,Brighton,36,1980,22.4,0,2,1,50.0,0.09,0.04,0.00,0.00,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
67,Chris Brunt\ec7e6ad1,nir NIR,MFDF,West Brom,32,1984,21.3,0,25,5,20.0,1.17,0.23,0.00,0.00,25.4,8,0,0,1.5,1.5,0.06,-1.5,-1.5,Matches
68,Oliver Burke\f631c17f,sct SCO,FWMF,West Brom,20,1997,4.1,0,4,0,0.0,0.98,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
69,Jack Butland\cc70a1d5,eng ENG,GK,Stoke City,24,1993,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Sam Byram\1bf811d4,eng ENG,DF,West Ham,23,1993,2.8,0,5,0,0.0,1.81,0.00,0.00,,14.0,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
71,Willy Caballero\a179d516,ar ARG,GK,Chelsea,35,1981,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Yohan Cabaye\ad7b19ef,fr FRA,MF,Crystal Palace,31,1986,26.4,0,38,10,26.3,1.44,0.38,0.00,0.00,24.3,4,0,0,1.8,1.8,0.05,-1.8,-1.8,Matches
73,Gary Cahill\7914b9fe,eng ENG,DF,Chelsea,31,1985,23.2,0,9,3,33.3,0.39,0.13,0.00,0.00,19.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
74,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,20,1997,20.9,4,43,15,34.9,2.06,0.72,0.09,0.27,14.4,0,0,0,5.2,5.2,0.12,-1.2,-1.2,Matches
75,Geoff Cameron\1a160ea3,us USA,DFMF,Stoke City,32,1985,16.9,0,5,0,0.0,0.30,0.00,0.00,,12.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
76,Tyrese Campbell\38aefb74,eng ENG,FW,Stoke City,17,1999,0.9,0,2,1,50.0,2.28,1.14,0.00,0.00,12.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
77,Emre Can\a65ce836,de GER,MF,Liverpool,23,1994,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,20.1,1,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
78,Étienne Capoue\5acc4a10,fr FRA,MF,Watford,29,1988,17.1,1,24,4,16.7,1.40,0.23,0.04,0.25,26.3,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
79,Michael Carrick\ab7263c1,eng ENG,MF,Manchester Utd,36,1981,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,14.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
80,André Carrillo\7527558b,pe PER,FWMF,Watford,26,1991,17.1,1,22,2,9.1,1.29,0.12,0.05,0.50,16.6,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
81,Guido Carrillo\8f898ba8,ar ARG,FW,Southampton,26,1991,5.0,0,9,4,44.4,1.80,0.80,0.00,0.00,12.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
82,Andy Carroll\b581987a,eng ENG,FW,West Ham,28,1989,8.3,3,28,8,28.6,3.36,0.96,0.11,0.38,15.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches
83,Tom Carroll\5a1900a4,eng ENG,MF,Swansea City,25,1992,28.6,0,19,3,15.8,0.67,0.11,0.00,0.00,22.9,5,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
84,Craig Cathcart\89e4b358,nir NIR,DF,Watford,28,1989,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,9.5,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
85,Petr Čech\71672fa0,cz CZE,GK,Arsenal,35,1982,33.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Nacer Chadli\5b54bf3b,be BEL,MFFW,West Brom,27,1989,2.9,1,4,2,50.0,1.38,0.69,0.25,0.50,27.2,2,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
87,Nathaniel Chalobah\422862ea,eng ENG,MF,Watford,22,1994,5.0,0,12,4,33.3,2.42,0.81,0.00,0.00,22.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
88,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,22,1995,9.6,0,9,3,33.3,0.94,0.31,0.00,0.00,13.0,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
89,Ben Chilwell\d2424d1b,eng ENG,DF,Leicester City,20,1996,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,24.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
90,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,19,1997,4.2,0,2,0,0.0,0.48,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
91,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,21,1996,23.2,0,13,1,7.7,0.56,0.04,0.00,0.00,9.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
92,Lee Chung-yong\49b05a83,kr KOR,FWMF,Crystal Palace,29,1988,1.5,0,1,0,0.0,0.67,0.00,0.00,,12.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
93,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,27,1989,19.4,2,11,4,36.4,0.57,0.21,0.18,0.50,7.4,0,0,0,1.8,1.8,0.16,+0.2,+0.2,Matches
94,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,27,1989,21.1,1,14,2,14.3,0.66,0.09,0.07,0.50,20.1,1,0,1,2.0,1.2,0.09,-1.0,-0.2,Matches
95,Sam Clucas\987718f5,eng ENG,MFFW,Swansea City,26,1990,22.7,3,20,7,35.0,0.88,0.31,0.15,0.43,16.0,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Matches
96,Nathaniel Clyne\0442183b,eng ENG,DFFW,Liverpool,26,1991,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,10.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
97,Séamus Coleman\0420d84f,ie IRL,DF,Everton,28,1988,11.5,0,5,2,40.0,0.43,0.17,0.00,0.00,10.8,0,0,0,1.0,1.0,0.20,-1.0,-1.0,Matches
98,James Collins\c61f1719,wls WAL,DF,West Ham,33,1983,11.7,1,3,2,66.7,0.26,0.17,0.33,0.50,7.5,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
99,Lewis Cook\2afc7272,eng ENG,MF,Bournemouth,20,1997,24.9,0,18,2,11.1,0.72,0.08,0.00,0.00,26.1,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
100,Steve Cook\3e5e4e63,eng ENG,DF,Bournemouth,26,1991,30.7,2,25,6,24.0,0.81,0.20,0.08,0.33,13.1,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
101,Francis Coquelin\a6951bf8,fr FRA,MFDF,Arsenal,26,1991,1.9,0,1,0,0.0,0.53,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
102,Jack Cork\74e12f1e,eng ENG,MF,Burnley,28,1989,38.0,2,16,5,31.3,0.42,0.13,0.13,0.40,16.1,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
103,Thibaut Courtois\1840e36d,be BEL,GK,Chelsea,25,1992,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Philippe Coutinho\0ef89a37,br BRA,MFFW,Liverpool,25,1992,12.3,7,53,17,32.1,4.30,1.38,0.13,0.41,22.9,10,0,0,2.6,2.6,0.05,+4.4,+4.4,Matches
105,Martin Cranie\9e53837d,eng ENG,DF,Huddersfield,30,1986,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,27,1989,34.1,1,21,6,28.6,0.62,0.18,0.05,0.17,28.1,8,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
107,Peter Crouch\73d9bdc7,eng ENG,FW,Stoke City,36,1981,17.4,5,23,9,39.1,1.32,0.52,0.22,0.56,13.4,0,0,0,4.1,4.1,0.18,+0.9,+0.9,Matches
108,Josh Cullen\f6d7d690,ie IRL,MF,West Ham,21,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Charlie Daniels\9d107085,eng ENG,DF,Bournemouth,30,1986,33.4,1,20,6,30.0,0.60,0.18,0.05,0.17,25.3,0,0,0,0.5,0.5,0.02,+0.5,+0.5,Matches
110,Danilo\94b2001f,br BRA,DF,Manchester City,26,1991,15.0,3,19,7,36.8,1.27,0.47,0.16,0.43,22.7,1,0,0,1.1,1.1,0.06,+1.9,+1.9,Matches
111,Scott Dann\52105203,eng ENG,DF,Crystal Palace,30,1987,15.9,1,19,4,21.1,1.19,0.25,0.05,0.25,9.2,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
112,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,26,1990,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,Matteo Darmian\96e0490d,it ITA,DF,Manchester Utd,27,1989,4.9,0,2,0,0.0,0.41,0.00,0.00,,31.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
114,Ben Davies\44781702,wls WAL,DF,Tottenham,24,1993,25.8,2,18,6,33.3,0.70,0.23,0.11,0.33,20.2,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
115,Tom Davies\9228b07c,eng ENG,MF,Everton,19,1998,21.1,2,21,3,14.3,0.99,0.14,0.10,0.67,22.5,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
116,Steven Davis\cf15bbb1,nir NIR,MFFW,Southampton,32,1985,16.9,3,14,5,35.7,0.83,0.30,0.21,0.60,20.0,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
117,Craig Dawson\3e9e06cb,eng ENG,DF,West Brom,27,1990,27.9,2,20,4,20.0,0.72,0.14,0.10,0.50,10.2,0,0,0,2.6,2.6,0.13,-0.6,-0.6,Matches
118,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,26,1991,34.1,8,93,39,41.9,2.72,1.14,0.09,0.21,23.8,16,0,0,6.2,6.2,0.07,+1.8,+1.8,Matches
119,Troy Deeney\82e34b69,eng ENG,FW,Watford,29,1988,20.5,5,32,10,31.3,1.56,0.49,0.06,0.20,16.3,0,3,5,7.5,3.5,0.11,-2.5,-1.5,Matches
120,Jermain Defoe\f1e8372d,eng ENG,FWMF,Bournemouth,34,1982,12.1,4,28,15,53.6,2.32,1.24,0.14,0.27,11.2,0,0,0,5.8,5.8,0.21,-1.8,-1.8,Matches
121,Steven Defour\73489527,be BEL,MF,Burnley,29,1988,22.2,1,19,7,36.8,0.86,0.32,0.05,0.14,24.7,4,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
122,Damien Delaney\210d9ecb,ie IRL,DF,Crystal Palace,36,1981,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,Fabian Delph\111c3236,eng ENG,DF,Manchester City,27,1989,19.3,1,9,3,33.3,0.47,0.16,0.11,0.33,27.5,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
124,Mousa Dembélé\f7ee69fb,be BEL,MF,Tottenham,30,1987,20.9,0,11,3,27.3,0.53,0.14,0.00,0.00,22.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
125,Laurent Depoitre\aa5859cb,be BEL,FW,Huddersfield,28,1988,20.2,6,25,12,48.0,1.24,0.59,0.24,0.50,12.7,0,0,0,4.0,4.0,0.16,+2.0,+2.0,Matches
126,Mike van der Hoorn\25f50295,nl NED,DF,Swansea City,24,1992,21.6,1,8,3,37.5,0.37,0.14,0.13,0.33,13.8,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
127,Gerard Deulofeu\39583cfd,es ESP,FWMF,Watford,23,1994,4.8,1,9,4,44.4,1.86,0.83,0.11,0.25,19.6,2,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
128,Fousseni Diabaté\d07e3b41,ml MLI,MFFW,Leicester City,21,1995,6.5,0,6,2,33.3,0.92,0.31,0.00,0.00,18.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
129,Mohamed Diamé\b7d082af,sn SEN,MF,Newcastle Utd,30,1987,22.7,2,20,7,35.0,0.88,0.31,0.10,0.29,19.1,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
130,Brahim Díaz\407feb71,es ESP,FWMF,Manchester City,17,1999,0.6,0,3,1,33.3,4.91,1.64,0.00,0.00,14.0,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches
131,Eric Dier\ac861941,eng ENG,MFDF,Tottenham,23,1994,31.4,0,33,7,21.2,1.05,0.22,0.00,0.00,15.7,1,0,0,2.0,2.0,0.06,-2.0,-2.0,Matches
132,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,26,1991,14.0,0,16,6,37.5,1.14,0.43,0.00,0.00,14.7,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
133,Virgil van Dijk\e06683ca,nl NED,DF,Southampton,26,1991,11.0,0,12,0,0.0,1.09,0.00,0.00,,11.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
134,Abdoulaye Doucouré\02b29014,fr FRA,MF,Watford,24,1993,36.9,7,47,17,36.2,1.27,0.46,0.15,0.41,20.0,0,0,0,3.6,3.6,0.08,+3.4,+3.4,Matches
135,Aleksandar Dragović\6fd8a334,at AUT,DF,Leicester City,26,1991,8.5,0,1,0,0.0,0.12,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
136,Danny Drinkwater\2649ff32,eng ENG,MF,Chelsea,27,1990,5.9,1,6,2,33.3,1.02,0.34,0.17,0.50,23.2,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
